RequestId SentTime ProducerRecievedTime ProducerUpdateTime EnteredKafkaTime ExitedKafkaTime ConsumerUpdateTime
3 1715952448150 1715952448154 1715952448160 1715952448226 1715952448229 1715952448237
4 1715952448414 1715952448418 1715952448430 1715952448463 1715952448466 1715952448485
5 1715952448682 1715952448685 1715952448701 1715952448729 1715952448734 1715952448743
6 1715952448953 1715952448957 1715952448968 1715952448991 1715952448997 1715952449005
7 1715952449220 1715952449222 1715952449232 1715952449251 1715952449253 1715952449259
8 1715952449484 1715952449491 1715952449505 1715952449534 1715952449536 1715952449540
9 1715952449758 1715952449762 1715952449773 1715952449797 1715952449799 1715952449806
10 1715952450025 1715952450027 1715952450037 1715952450059 1715952450062 1715952450069
11 1715952450289 1715952450297 1715952450310 1715952450328 1715952450330 1715952450335
12 1715952450562 1715952450570 1715952450587 1715952450632 1715952450637 1715952450649
13 1715952450841 1715952450844 1715952450854 1715952450868 1715952450868 1715952450873
14 1715952451105 1715952451111 1715952451124 1715952451152 1715952451154 1715952451166
15 1715952451377 1715952451384 1715952451403 1715952451436 1715952451441 1715952451455
16 1715952451656 1715952451659 1715952451669 1715952451684 1715952451686 1715952451691
17 1715952451921 1715952451926 1715952451941 1715952451976 1715952451981 1715952451995
18 1715952452194 1715952452201 1715952452208 1715952452240 1715952452245 1715952452254
19 1715952452461 1715952452468 1715952452481 1715952452522 1715952452530 1715952452538
20 1715952452735 1715952452741 1715952452755 1715952452787 1715952452791 1715952452801
21 1715952453008 1715952453016 1715952453029 1715952453060 1715952453066 1715952453075
22 1715952453283 1715952453289 1715952453303 1715952453334 1715952453339 1715952453349
23 1715952453557 1715952453566 1715952453578 1715952453596 1715952453599 1715952453603
24 1715952453831 1715952453836 1715952453847 1715952453871 1715952453880 1715952453886
25 1715952454099 1715952454109 1715952454127 1715952454154 1715952454157 1715952454162
26 1715952454383 1715952454390 1715952454405 1715952454437 1715952454441 1715952454453
27 1715952454662 1715952454668 1715952454683 1715952454721 1715952454726 1715952454741
28 1715952454937 1715952454940 1715952454950 1715952454962 1715952454964 1715952454971
29 1715952455201 1715952455204 1715952455214 1715952455227 1715952455229 1715952455232
30 1715952455465 1715952455470 1715952455481 1715952455492 1715952455494 1715952455499
31 1715952455733 1715952455736 1715952455749 1715952455768 1715952455771 1715952455776
32 1715952456001 1715952456004 1715952456016 1715952456027 1715952456029 1715952456036
33 1715952456267 1715952456273 1715952456287 1715952456312 1715952456315 1715952456319
34 1715952456540 1715952456547 1715952456562 1715952456589 1715952456591 1715952456596
35 1715952456816 1715952456818 1715952456829 1715952456839 1715952456840 1715952456846
36 1715952457080 1715952457082 1715952457092 1715952457105 1715952457107 1715952457112
37 1715952457343 1715952457347 1715952457359 1715952457377 1715952457380 1715952457385
38 1715952457612 1715952457615 1715952457625 1715952457636 1715952457637 1715952457641
39 1715952457877 1715952457883 1715952457897 1715952457924 1715952457926 1715952457932
40 1715952458150 1715952458155 1715952458160 1715952458180 1715952458182 1715952458186
41 1715952458413 1715952458420 1715952458434 1715952458453 1715952458456 1715952458461
42 1715952458687 1715952458691 1715952458702 1715952458714 1715952458719 1715952458724
43 1715952458955 1715952458959 1715952458967 1715952458978 1715952458980 1715952458983
44 1715952459219 1715952459221 1715952459224 1715952459233 1715952459234 1715952459239
45 1715952459475 1715952459481 1715952459488 1715952459511 1715952459514 1715952459520
46 1715952459741 1715952459746 1715952459750 1715952459765 1715952459768 1715952459773
47 1715952460002 1715952460009 1715952460026 1715952460059 1715952460064 1715952460073
48 1715952460280 1715952460286 1715952460293 1715952460322 1715952460326 1715952460336
49 1715952460547 1715952460554 1715952460561 1715952460589 1715952460594 1715952460605
50 1715952460814 1715952460817 1715952460820 1715952460828 1715952460829 1715952460834
51 1715952461071 1715952461077 1715952461084 1715952461106 1715952461110 1715952461118
52 1715952461337 1715952461351 1715952461358 1715952461385 1715952461390 1715952461400
53 1715952461612 1715952461624 1715952461631 1715952461663 1715952461673 1715952461679
54 1715952461885 1715952461892 1715952461899 1715952461931 1715952461937 1715952461948
55 1715952462152 1715952462161 1715952462168 1715952462196 1715952462202 1715952462211
56 1715952462422 1715952462429 1715952462436 1715952462461 1715952462466 1715952462476
57 1715952462690 1715952462696 1715952462704 1715952462730 1715952462733 1715952462743
58 1715952462957 1715952462963 1715952462969 1715952462994 1715952462997 1715952463005
59 1715952463223 1715952463229 1715952463235 1715952463261 1715952463264 1715952463274
60 1715952463489 1715952463496 1715952463503 1715952463529 1715952463533 1715952463543
61 1715952463757 1715952463762 1715952463769 1715952463793 1715952463796 1715952463805
62 1715952464022 1715952464025 1715952464030 1715952464044 1715952464045 1715952464053
63 1715952464281 1715952464285 1715952464291 1715952464307 1715952464311 1715952464319
64 1715952464543 1715952464551 1715952464558 1715952464585 1715952464590 1715952464600
65 1715952464812 1715952464820 1715952464826 1715952464853 1715952464856 1715952464874
66 1715952465080 1715952465082 1715952465085 1715952465093 1715952465095 1715952465098
67 1715952465337 1715952465342 1715952465346 1715952465360 1715952465364 1715952465369
68 1715952465598 1715952465600 1715952465603 1715952465612 1715952465613 1715952465619
69 1715952465854 1715952465860 1715952465867 1715952465889 1715952465891 1715952465896
70 1715952466121 1715952466127 1715952466135 1715952466151 1715952466153 1715952466157
71 1715952466389 1715952466394 1715952466401 1715952466425 1715952466427 1715952466433
72 1715952466655 1715952466656 1715952466659 1715952466665 1715952466668 1715952466672
73 1715952466910 1715952466915 1715952466921 1715952466941 1715952466944 1715952466955
74 1715952467174 1715952467183 1715952467192 1715952467213 1715952467215 1715952467221
75 1715952467446 1715952467451 1715952467457 1715952467477 1715952467481 1715952467485
76 1715952467710 1715952467717 1715952467723 1715952467748 1715952467753 1715952467764
77 1715952467977 1715952467984 1715952467990 1715952468019 1715952468024 1715952468034
78 1715952468244 1715952468250 1715952468256 1715952468280 1715952468284 1715952468292
79 1715952468510 1715952468515 1715952468521 1715952468541 1715952468544 1715952468551
80 1715952468774 1715952468779 1715952468785 1715952468807 1715952468813 1715952468822
81 1715952469038 1715952469045 1715952469052 1715952469073 1715952469077 1715952469087
82 1715952469305 1715952469310 1715952469314 1715952469330 1715952469333 1715952469338
83 1715952469567 1715952469573 1715952469579 1715952469603 1715952469607 1715952469615
84 1715952469833 1715952469839 1715952469846 1715952469875 1715952469889 1715952469897
85 1715952470100 1715952470107 1715952470113 1715952470140 1715952470143 1715952470155
86 1715952470367 1715952470372 1715952470377 1715952470395 1715952470399 1715952470407
87 1715952470630 1715952470636 1715952470642 1715952470663 1715952470666 1715952470674
88 1715952470895 1715952470901 1715952470905 1715952470924 1715952470927 1715952470933
89 1715952471157 1715952471165 1715952471171 1715952471194 1715952471197 1715952471204
90 1715952471425 1715952471431 1715952471436 1715952471455 1715952471458 1715952471466
91 1715952471690 1715952471697 1715952471702 1715952471733 1715952471735 1715952471746
92 1715952471956 1715952471964 1715952471970 1715952471990 1715952471993 1715952472005
93 1715952472223 1715952472229 1715952472236 1715952472258 1715952472261 1715952472268
94 1715952472489 1715952472496 1715952472501 1715952472520 1715952472525 1715952472533
95 1715952472755 1715952472762 1715952472768 1715952472788 1715952472797 1715952472805
96 1715952473022 1715952473027 1715952473033 1715952473054 1715952473057 1715952473065
97 1715952473286 1715952473293 1715952473299 1715952473322 1715952473325 1715952473335
98 1715952473553 1715952473562 1715952473568 1715952473590 1715952473592 1715952473599
99 1715952473821 1715952473827 1715952473833 1715952473857 1715952473861 1715952473868
100 1715952474086 1715952474094 1715952474100 1715952474123 1715952474126 1715952474133
101 1715952474354 1715952474361 1715952474367 1715952474389 1715952474393 1715952474402
